nombre_del_municipio,Agno,concentraci_n
AMAGÁ,2017,17.73538461538462
AMAGÁ,2018,12.530659340659343
ANDES,2017,9.118588235294123
BARBOSA,2017,11.351861145964037
BARBOSA,2018,12.538279642983362
BELLO,2017,16.436696090794452
BELLO,2018,16.856169935548373
CALDAS,2012,17.308943089430894
CALDAS,2013,24.10801261829653
CALDAS,2014,24.953525444512568
CALDAS,2015,29.828477324550292
CALDAS,2016,33.66341404650042
CALDAS,2017,27.162800186523665
CALDAS,2018,21.231597188858288
CISNEROS,2014,17.157894736842106
CISNEROS,2017,7.52256756756757
COPACABANA,2017,14.111793073213526
COPACABANA,2018,15.408516280869446
EL BAGRE,2012,16.79310344827586
EL BAGRE,2018,18.549295774647888
ENTRERRÍOS,2018,13.049999999999999
ENVIGADO,2011,23.283663258646943
ENVIGADO,2012,24.97327202184222
ENVIGADO,2013,25.698360655737705
ENVIGADO,2015,16.7
ENVIGADO,2016,31.512641509433973
ENVIGADO,2017,16.22432414256894
ENVIGADO,2018,17.63766775732866
FREDONIA,2017,15.378235294117648
FREDONIA,2018,5.082093023255815
GIRARDOTA,2015,20.832365145228216
GIRARDOTA,2016,24.497238867348138
GIRARDOTA,2017,20.410802357752917
GIRARDOTA,2018,18.091218920557903
GUARNE,2017,10.490823529411767
GÓMEZ PLATA,2014,10.866666666666667
ITAGÜÍ,2011,23.6874045445447
ITAGÜÍ,2012,25.894075869860444
ITAGÜÍ,2013,25.81934374766425
ITAGÜÍ,2014,27.27012855209743
ITAGÜÍ,2015,25.895152693296545
ITAGÜÍ,2016,27.736894641937145
ITAGÜÍ,2017,23.846423732913973
ITAGÜÍ,2018,21.754545609742195
LA ESTRELLA,2017,16.750588235294117
LA ESTRELLA,2018,18.734410913140305
LA PINTADA,2017,11.557272727272727
LA PINTADA,2018,12.00732142857143
LIBORINA,2018,6.333333333333333
MEDELLÍN,2011,28.567176138577526
MEDELLÍN,2012,27.08120632374362
MEDELLÍN,2013,27.2936611547845
MEDELLÍN,2014,30.94746808759807
MEDELLÍN,2015,29.382574305179343
MEDELLÍN,2016,32.962087399236296
MEDELLÍN,2017,24.62938392091582
MEDELLÍN,2018,20.15008285036347
PUERTO BERRÍO,2018,13.958958333333335
PUERTO NARE,2017,7.345890410958904
PUERTO TRIUNFO,2017,10.613333333333335
REMEDIOS,2017,5.5536363636363655
RIONEGRO,2017,9.58423076923077
SABANETA,2015,51.07997465145754
SABANETA,2016,50.45927364510475
SABANETA,2017,38.860954182643816
SABANETA,2018,25.977628967522698
SALGAR,2014,16.885714285714286
SANTA BÁRBARA,2018,6.930833333333331
SANTA FÉ DE ANTIOQUIA,2017,4.881833333333334
SANTA ROSA DE OSOS,2018,10.867142857142857
SEGOVIA,2018,13.529411764705882
TITIRIBÍ,2018,2.9583333333333335
VEGACHÍ,2013,23.642857142857142
VEGACHÍ,2018,10.6
YARUMAL,2018,3.5290909090909093
